S. No.,Student Name,Student Email id,First Login Date,Active Status,Gender,Institute Name,Institute City,Institute State,Grade,Volunteer
1,Aadhya,aadhya@gmail.com,12-11-2022,TRUE,Female,XYZ School Of Architecture,Bengaluru,Karnataka,Graduate,TRUE
2,Rahul,rahul@gmail.com,22-12-2022,TRUE,Male,XYZ School Of Law,Kolkata,West Bengal,Professional,TRUE
3,Harsh,harsh@gmail.com,16-01-2023,FALSE,Male,XYZ School Of Applied Sciences And Research,Noida,Uttar Pradesh,Postgraduate,FALSE
4,Sanjay,sanjay@gmail.com,24-11-2022,TRUE,Male,XYZ Public School,Delhi,Delhi,Grade 6-8,TRUE
5,Pranav,pranav@gmail.com,11-12-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Chennai,Tamil Nadu,Postgraduate,FALSE
6,Ram,ram@gmail.com,10-01-2023,TRUE,Male,XYZ Pu College,Kolkata,West Bengal,Grade 8-12,FALSE
7,Sanvi,sanvi@gmail.com,12-11-2022,TRUE,Female,XYZ School Of Engineering,Noida,Uttar Pradesh,Graduate,TRUE
8,Preethi,preethi@gmail.com,24-11-2022,TRUE,Female,XYZ School Of Commerce,Pune,Maharashtra,Professional,TRUE
9,Prem,prem@gmail.com,07-01-2023,FALSE,Male,XYZ School Of Lifeskills,Mumbai,Maharashtra,Postgraduate,FALSE
10,Hemanth,hemanth@gmail.com,20-12-2022,TRUE,Male,XYZ School Of Management Studies,Mumbai,Maharashtra,Graduate,FALSE
11,Sowmya,sowmya@gmail.com,16-01-2023,TRUE,Female,XYZ Public School,Mysore,Karnataka,Grade 6-8,TRUE
12,Deepthi,deepthi@gmail.com,29-11-2022,FALSE,Female,XYZ School Of Dental And Medical Science,Agra,Uttar Pradesh,Postgraduate,TRUE
13,Deepika,deepika@gmail.com,22-12-2022,TRUE,Female,XYZ School Of Applied Sciences And Research,Surat,Gujarat,Professional,FALSE
14,Praneetha,praneetha@gmail.com,19-11-2022,TRUE,Female,XYZ Pu College,Bengaluru,Karnataka,Grade 8-12,TRUE
15,Prajakta,prajakta@gmail.com,26-11-2022,TRUE,Female,XYZ School Of Engineering,Hyderabad,Telangana,Professional,FALSE
16,Leela,leela@gmail.com,08-12-2022,TRUE,Female,XYZ School Of Commerce,Chennai,Tamil Nadu,Postgraduate,FALSE
17,Preman,preman@gmail.com,12-11-2022,TRUE,Male,XYZ School Of Lifeskills,Pondicherry,Puducherry,Graduate,FALSE
18,Lohith,lohith@gmail.com,14-11-2022,FALSE,Male,XYZ School Of Applied Sciences And Research,Agra,Uttar Pradesh,Others,FALSE
